168.90458488228006, 91.25650557620818
186.51548946716233, 108.86741016109046
204.12639405204462, 126.47831474597274
223.33828996282529, 146.4907063197026
240.94919454770755, 167.30359355638166
261.7620817843866, 192.9194547707559
280.1734820322181, 221.73729863692688
291.3804213135068, 242.55018587360595
300.98636926889714, 266.5650557620818
308.1908302354399, 285.7769516728625
313.79429987608427, 312.19330855018586
316.996282527881, 352.2180916976456
313.79429987608427, 379.4349442379182
304.9888475836431, 413.0557620817844
291.3804213135068, 439.47211895910783
273.7695167286245, 461.8859975216853
