143.80731102850064, 120.70384138785626
150.87980173482032, 142.864312267658
157.00929368029742, 162.19578686493185
165.49628252788105, 186.71375464684016
174.45477075588602, 207.45972738537796
183.8847583643123, 224.43370508054525
194.25774473358118, 239.05018587360595
205.5737298636927, 252.25216852540274
219.2472118959108, 268.2831474597274
232.92069392812888, 280.07063197026025
243.7651796778191, 289.5006195786865
256.4956629491946, 299.8736059479554
271.5836431226766, 310.2465923172243
286.6716232961586, 320.1480793060719
302.7026022304833, 328.1635687732342
319.20508054522924, 336.65055762081784
339.47955390334573, 343.7230483271376
354.56753407682777, 348.90954151177203
367.7695167286246, 352.2100371747212
